arm	cancer_type	discovery	replication	seed	n_common	n_dis_tested	n_rep_tested	n_dis_joint	n_rep_joint	rep_joint	repdir_joint	n_dis_fdr	n_rep_fdr	rep_fdr	repdir_fdr	n_dis_lfc	n_rep_lfc	rep_lfc	repdir_lfc	n_dis_topp100	n_rep_topp100	rep_topp100	repdir_topp100	n_dis_topp500	n_rep_topp500	rep_topp500	repdir_topp500	n_dis_topfc100	n_rep_topfc100	rep_topfc100	repdir_topfc100	n_dis_topfc500	n_rep_topfc500	rep_topfc500	repdir_topfc500	gene_sign_conc	gene_bothsig_fdr	gene_bothsig_sign	pi1	rep_median_abs_lfc	dis_median_abs_lfc	lfc_shrinkage	spearman_lfc	spearman_stat	pearson_lfc	global_sign_conc	status
cross_m10	PRAD	SRP002628	SRP027258	4	13975	15696	14504	3	4270	0.6666666666666666	0.6666666666666666	3	8536	0.6666666666666666	0.6666666666666666	241	4526	0.8008298755186722	0.5975103734439834	100	100	0.04	0.03	500	500	0.072	0.06	3	100	0.0	0.0	3	500	0.0	0.0								0.16126792469167597	0.16641412527573723	0.19109516415179043	0.5586404293381038	ok
cross_m10	PRAD	SRP002628	SRP148500	0	15649	15696	16653	1043	248	0.07574304889741132	0.07478427612655801	2678	403	0.05974607916355489	0.05937266616878267	1499	780	0.24549699799866578	0.23215476984656438	100	100	0.03	0.03	500	500	0.076	0.076	100	100	0.07	0.07	500	403	0.114	0.112	0.9146692233940557	0.09491850431447747	0.09395973154362416	0.7459252157238734	0.6141167495765911	1.2757521426007636	0.5186237756774248	0.5878696403540962	0.626980773957239	0.546111109724497	0.7411336187615822	ok
cross_m10	PRAD	SRP002628	SRP148500	1	15649	15696	16653	602	248	0.09136212624584718	0.08803986710963455	1312	402	0.07317073170731707	0.07164634146341463	1146	780	0.28883071553228623	0.2670157068062827	100	100	0.04	0.04	500	500	0.09	0.086	100	100	0.11	0.1	500	402	0.114	0.11	0.8920265780730897	0.10631229235880399	0.10299003322259136	0.7757475083056478	0.6890932948169146	1.3141621271364752	0.4756405769214862	0.5685104765123226	0.5995620028625858	0.5307091411402626	0.7262444884657167	ok
cross_m10	PRAD	SRP027258	SRP002628	2	13975	14504	15696	4428	841	0.12579042457091238	0.08897922312556458	8409	2403	0.1872993221548341	0.13212034724699726	4707	1066	0.1631612492033142	0.11302315700021245	100	100	0.04	0.04	500	500	0.106	0.088	100	100	0.12	0.11	500	500	0.2	0.156	0.6034327009936766	0.243676603432701	0.17253839205058719	0.6296296296296295	0.46270237909796563	2.0772299331921062	0.7772502833198995	0.1820328638498871	0.18083213629907063	0.2091372344791205	0.5620035778175313	ok
cross_m10	PRAD	SRP027258	SRP002628	3	13975	14504	15696	4379	3	0.0006850879196163508	0.0006850879196163508	8295	3	0.0003616636528028933	0.0003616636528028933	4650	303	0.052258064516129035	0.03913978494623656	100	100	0.07	0.06	500	500	0.102	0.086	100	3	0.0	0.0	500	3	0.0	0.0	0.6179493034939484	0.0006850879196163508	0.0006850879196163508	0.36591306995508854	0.3051205343375028	2.050079298381085	0.851166472156247	0.20542866178981156	0.20687662734279894	0.23051545500791598	0.5718783542039356	ok
cross_m10	PRAD	SRP027258	SRP002628	4	13975	14504	15696	4270	3	0.000468384074941452	0.000468384074941452	8536	3	0.00023430178069353328	0.00023430178069353328	4526	241	0.042642509942554134	0.031816173221387536	100	100	0.04	0.03	500	500	0.072	0.06	100	3	0.0	0.0	500	3	0.0	0.0	0.5969555035128805	0.000468384074941452	0.000468384074941452	0.3133489461358311	0.2745947812369194	1.9560115020418536	0.8596149455408244	0.16126792469167597	0.16641412527573723	0.19109516415179043	0.5586404293381038	ok
cross_m10	PRAD	SRP027258	SRP148500	0	14245	14504	16653	4649	172	0.02710260271026027	0.018713701871370187	8664	324	0.026200369344413665	0.017659279778393353	4957	560	0.08997377446035909	0.06475690942102078	100	100	0.02	0.02	500	500	0.082	0.066	100	100	0.03	0.02	500	324	0.08	0.062	0.6179823617982362	0.03699720369972037	0.024736502473650248	0.3771659377165937	0.28655161138083896	2.1184114619653607	0.8647327884475332	0.19925150557926335	0.18498535765529858	0.24054417990350843	0.5657423657423657	ok
cross_m10	PRAD	SRP212704	SRP027258	1	14188	16515	14504	1210	4521	0.6363636363636364	0.45041322314049587	5029	8562	0.6241797574070391	0.3965002982700338	1268	4777	0.6971608832807571	0.48264984227129337	100	100	0.02	0.02	500	500	0.07	0.064	100	100	0.1	0.1	500	500	0.24	0.2	0.6628099173553719	0.7231404958677686	0.5041322314049587	0.859504132231405	1.990867115504024	1.3845225840318038	-0.43794484717361026	0.14418518512350248	0.14619258692791215	0.2135204237281153	0.5612489427685368	ok
cross_m10	PRAD	SRP212704	SRP027258	2	14188	16515	14504	1215	4550	0.6477366255144033	0.46255144032921813	4585	8540	0.6346782988004362	0.4351145038167939	1332	4846	0.7162162162162162	0.487987987987988	100	100	0.01	0.01	500	500	0.08	0.064	100	100	0.11	0.1	500	500	0.258	0.222	0.6683127572016461	0.7226337448559671	0.5102880658436214	0.8436213991769547	2.1030586435965843	1.3877151523209328	-0.5154829433686374	0.21035301297731088	0.20708297373362017	0.24946957328372713	0.5814773047645898	ok
cross_m10	PRAD	SRP212704	SRP027258	3	14188	16515	14504	1178	4504	0.6417657045840407	0.4796264855687606	5492	8442	0.6176256372906045	0.4204297159504734	1256	4789	0.7046178343949044	0.5222929936305732	100	100	0.0	0.0	500	500	0.08	0.066	100	100	0.16	0.15	500	500	0.254	0.218	0.7054329371816639	0.7275042444821732	0.5356536502546689	0.8387096774193549	1.992062538587681	1.36553187594541	-0.4588180427560504	0.20681637907758263	0.20804889590152592	0.26817359945294506	0.5800676628136453	ok
